Symbol
NVDA
GOOGL
GOOG
AAPL
MSFT
AMZN
AVGO
TSLA
META
BRK-B
LLY
WMT
MU
JPM
AMD
XOM
V
INTC
JNJ
ORCL
CSCO
COST
MA
CAT
LRCX
CVX
ABBV
NFLX
BAC
UNH
KO
AMAT
PG
PLTR
MS
GE
HD
MRK
PM
GS
TXN
GEV
QCOM
KLAC
LIN
IBM
RTX
WFC
SNDK
C
AXP
PANW
TMUS
PEP
VZ
MCD
ANET
ADI
DELL
NEE
AMGN
STX
DIS
T
TJX
BLK
BA
CRWD
GLW
WDC
GILD
TMO
APH
APP
UNP
SCHW
ISRG
WELL
ABT
ETN
PFE
CRM
COP
UBER
BX
HON
DE
PLD
IBKR
CB
VRT
BKNG
SPGI
MO
LMT
DHR
BMY
SYK
LOW
CVS
SBUX
COF
PGR
NEM
VRTX
ACN
PH
PWR
SO
EQIX
CEG
CME
NOW
CDNS
HWM
MDT
SNPS
TT
ADBE
FTNT
DUK
MAR
WMB
BNY
FDX
GD
MCK
ADP
CMCSA
FCX
CMI
PNC
INTU
WM
HCA
ICE
BSX
UPS
ELV
AMT
SLB
USB
MNST
CSX
KKR
JCI
CIEN
NXPI
ABNB
MMM
MDLZ
DDOG
MRSH
NOC
MCO
MPWR
EMR
SHW
ORLY
CI
ROST
EOG
KMI
CVNA
MPC
APO
COHR
LITE
VLO
HLT
ITW
CL
AEP
ECL
PSX
GM
NSC
DASH
AON
CTAS
RCL
TDG
WBD
DLR
MSI
CRH
REGN
SPG
HOOD
NKE
BKR
TRV
APD
FIX
RSG
SRE
TFC
AFL
D
F
KEYS
TRGP
OKE
TEL
GWW
URI
OXY
LHX
O
PCAR
TGT
FANG
AZO
TER
ALL
DVN
MET
PSA
COR
CTVA
NUE
VST
AJG
CARR
NDAQ
AME
ETR
EBAY
ADSK
MCHP
XEL
FAST
EA
ROK
DAL
HPE
EW
COIN
EXC
CAH
GRMN
ON
FITB
IDXX
VTR
ODFL
WAB
MSCI
YUM
STT
CMG
TTWO
KR
AIG
DHI
BDX
AMP
XYZ
ED
CCI
PEG
KDP
HSY
PYPL
LYV
JBL
CBRE
EME
IRM
CBOE
ADM
HIG
HUM
WEC
TKO
SYY
PCG
EQT
PRU
SATS
CCL
PAYX
HAL
STLD
ZTS
VMC
KVUE
ACGL
WAT
ROP
KMB
Q
LVS
CPRT
A
UAL
HBAN
MLM
WDAY
EL
MTB
AXON
NTRS
AEE
CASY
VICI
FISV
EXR
DTE
RMD
ATO
RJF
GEHC
CNC
NRG
FICO
TDY
BIIB
DOV
VRSN
KHC
IQV
CNP
TPR
OTIS
DXCM
IR
TPL
FSLR
ARES
NTAP
EIX
PPL
FE
CFG
ES
XYL
VEEV
CINF
DOW
AVB
EXPE
STZ
ROL
FOXA
FOX
WRB
HUBB
CTSH
EQR
AWK
JBHT
WTW
SYF
PPG
RF
EXE
BG
KEY
DRI
DG
HPQ
CMS
NI
RL
CHD
CPAY
WSM
FIS
LYB
TSN
ULTA
PFG
VRSK
L
WST
MTD
FFIV
PHM
TROW
LEN
SBAC
DGX
AKAM
SMCI
OMC
VLTO
LH
STE
EXPD
CHRW
ALB
CHTR
GPN
LUV
SW
DD
BRO
EFX
INCY
VTRS
EVRG
PKG
IFF
LNT
SNA
CF
MRNA
DLTR
FTV
GIS
ESS
AMCR
BR
INVH
PTC
WY
LII
TSCO
IP
ZBH
NVR
KIM
NDSN
BEN
TXT
GNRC
LDOS
IEX
HST
MAA
LULU
DECK
BALL
GEN
NWS
NWSA
CPT
REG
CDW
EG
DOC
CSGP
APA
MAS
J
GPC
SOLV
TYL
TRMB
BBY
MKC
DVA
HII
AIZ
PNW
HAS
SWKS
UDR
AVY
COO
ZBRA
BF-B
APTV
GL
PNR
IVZ
GDDY
SWK
ALGN
PSKY
HRL
CLX
ALLE
SJM
RVTY
PODD
IT
DPZ
TTD
AES
ERIE
FRT
WYNN
JKHY
BAX
MGM
BXP
UHS
HSIC
FDS
ARE
TAP
BLDR
AOS
CRL
TECH
NCLH
MOS
POOL
CAG
CPB
EPAM
